Company,Country,Involvment,Contribution,Benefits
Energy Sde Ilan ,Israel,"Investor, Developer",Operates and manages the Shdemot Mehola Solar Field,Revenue from electricity sales to the Israeli grid
SolarEdge Technologies,Israel,Suplier,Supplied solar inverters and monitoring systems	,Market Expansion
