Company,Country,Involvment,Contribution,Benefits
Green Is Us,Israel,Investor,Jointly invested with Enerpoint over $6 million USD	,Income from partnership and operations in solar projects 
Enerpoint,Italy/Israel,"Investor, Suplier",Jointly invested with Green Is Us over $6 million USD        ,"Returns from substantial initial investment, growth in Israeli renewable sector operations"
SunTech,Honk Kong,Suplier,"Provided solar panels, typically cost around $800,000 and $1.2 million USD for a project of this scale.",Market Expansion
Refu Elektronik,Germany,Suplier,"Provided solar inverters (REFUsol), typically cost around $400,000 to $800,000 USD for a project of this scale.",Market Expansion
PGR Drive Technologies,Turkiye,Suplier,"Supplied electrical drive systems, typically cost around $100,000 to $200,000 USD for a project of this scale.",Market Expansion
