Company,Country,Involvment,Contribution,Benefits
M.G.A. Energy Solutions	,Israel,constructor,Provided engineering and construction services,Market Expansion
SolarEdge Technologies,Israel,Suplier,Supplied solar inverters and monitoring systems	,Market Expansion
